KH_ID,GioiTinh,QueQuan,NamHocThu,ChuyenNganh,NgheNghiepGiaDinh,ChiTieuHangThang,ThoiGianSuDung,MucDichSuDungLaptop,MucDoHaiLong,YeuToThuongHieuSP,YeuToCauHinh,YeuToTocDoXuLy,YeuToGia,YeuToThietKe,YeuToUyTinNhaBanle,YeuToBaoMat,YeuToBaoHanh,YeuToKhuyenMai
CTM79224,Nam,B?nh Ð?nh,Nãm 2,Truy?n thông Marketing,Công ch?c nhà ný?c,T? 3.000.000 ð?n 5.000.000,T? 6 tháng - 1 nãm,"H?c t?p, Làm vi?c, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web), Khác",4,4,4,4,3,3,4,3,4,2
CTM79231,Nam,Hà N?i,Nãm 1,Khoa h?c d? li?u,Kinh doanh t? do,T? 1.500.000 ð?n 3.000.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Chõi game",4,2,5,5,4,2,4,2,4,5
CTM79387,Nam,Ngh? An,Nãm 3,Ki?m toán,Công ch?c nhà ný?c,T? 1.500.000 ð?n 3.000.000,Trên 2 nãm,"H?c t?p, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web)",4,3,2,4,2,3,3,4,3,4
CTM79451,N?,Gia Lai,Nãm 4,H? th?ng thông tin qu?n l?,Kinh doanh t? do,T? 1.500.000 ð?n 3.000.000,Trên 2 nãm,Làm vi?c,4,2,5,5,4,2,4,3,5,4
CTM79465,Nam,H? Chí Minh,Nãm 2,Ki?m toán,Công ch?c nhà ný?c,T? 3.000.000 ð?n 5.000.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Làm vi?c, Chõi game",4,2,3,4,3,2,4,3,4,3
CTM79523,Nam,B?nh Ð?nh,Nãm 4,Qu?n tr? Marketing,Nông dân,T? 1.500.000 ð?n 3.000.000,Trên 2 nãm,"H?c t?p, Làm vi?c, Gi?i trí (xem phim, nghe nh?c, lý?t web)",3,3,3,4,4,4,3,1,3,4
CTM79874,Nam,Ð?k L?k,Nãm 2,Ki?m toán,Nông dân,T? 1.500.000 ð?n 3.000.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Làm vi?c, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web)",3,4,3,4,5,2,2,2,4,5
CTM79956,N?,Hà N?i,Nãm 1,Thýõng m?i,Nhân viên vãn ph?ng,T? 1.500.000 ð?n 3.000.000,Trên 2 nãm,"H?c t?p, Gi?i trí (xem phim, nghe nh?c, lý?t web)",4,5,5,5,5,5,5,5,5,5
CTM800,Nam,H? Chí Minh,Nãm 4,Ngo?i thýõng,Nhân viên vãn ph?ng,Trên 5.000.000,Trên 2 nãm,"H?c t?p, Làm vi?c, Gi?i trí (xem phim, nghe nh?c, lý?t web)",4,4,3,3,4,5,2,2,3,4
CTM80011,Nam,Qu?ng B?nh,Nãm 2,H? th?ng thông tin qu?n l?,Nông dân,T? 1.500.000 ð?n 3.000.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web)",3,4,4,5,4,2,2,2,5,4
CTM80045,Nam,Qu?ng Tr?,Nãm 3,Qu?n tr? khách s?n,Nông dân,T? 1.500.000 ð?n 3.000.000,Trên 2 nãm,"H?c t?p, Làm vi?c",4,2,2,3,4,3,3,2,3,4
CTM80056,N?,Qu?ng Tr?,Nãm 4,K? toán,Nông dân,T? 1.500.000 ð?n 3.000.000,Trên 2 nãm,"H?c t?p, Làm vi?c",3,4,3,3,4,3,4,2,3,3
CTM80210,N?,B?nh Ð?nh,Nãm 3,Qu?n tr? Marketing,Nông dân,T? 3.000.000 ð?n 5.000.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Gi?i trí (xem phim, nghe nh?c, lý?t web)",4,4,5,5,3,3,4,5,3,2
CTM80325,N?,H? Chí Minh,Nãm 2,Ngo?i thýõng,Công ch?c nhà ný?c,T? 3.000.000 ð?n 5.000.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Làm vi?c",4,5,3,3,4,5,4,4,4,4
CTM80337,Nam,Thanh Hóa,Nãm 2,Truy?n thông Marketing,Kinh doanh t? do,T? 3.000.000 ð?n 5.000.000,T? 6 tháng - 1 nãm,"H?c t?p, Làm vi?c",3,3,4,4,4,4,3,2,5,4
CTM80412,N?,H? Chí Minh,Nãm 2,Qu?n tr? Marketing,Kinh doanh t? do,T? 1.500.000 ð?n 3.000.000,Dý?i 6 tháng,"H?c t?p, Làm vi?c, Gi?i trí (xem phim, nghe nh?c, lý?t web)",3,5,5,5,5,4,4,4,5,4
CTM80540,N?,Qu?ng Tr?,Nãm 2,Thýõng m?i ði?n t?,Nông dân,T? 1.500.000 ð?n 3.000.000,Trên 2 nãm,H?c t?p,4,4,3,4,4,4,3,2,4,4
CTM80660,N?,Ngh? An,Nãm 4,K? toán,Nông dân,Dý?i 1.500.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Làm vi?c",4,4,2,3,4,4,3,2,3,4
CTM80710,Nam,H? Chí Minh,Nãm 2,Ngo?i thýõng,Công ch?c nhà ný?c,T? 1.500.000 ð?n 3.000.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Làm vi?c, Gi?i trí (xem phim, nghe nh?c, lý?t web), Khác",3,3,2,2,3,4,4,4,4,3
CTM81227,Nam,Phú Yên,Nãm 2,Qu?n tr? d?ch v? du l?ch và l? hành,Nhân viên vãn ph?ng,T? 3.000.000 ð?n 5.000.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Làm vi?c, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web), Khác",5,2,4,4,1,3,3,3,2,2
CTM81259,N?,Ð?k Nông,Nãm 3,Truy?n thông Marketing,Nông dân,T? 1.500.000 ð?n 3.000.000,Trên 2 nãm,"H?c t?p, Làm vi?c, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web)",3,4,4,4,5,3,3,2,5,5
