KH_ID,GioiTinh,QueQuan,NamHocThu,ChuyenNganh,NgheNghiepGiaDinh,ChiTieuHangThang,ThoiGianSuDung,MucDichSuDungLaptop,MucDoHaiLong,YeuToThuongHieuSP,YeuToCauHinh,YeuToTocDoXuLy,YeuToGia,YeuToThietKe,YeuToUyTinNhaBanle,YeuToBaoMat,YeuToBaoHanh,YeuToKhuyenMai
CTM10164,Nam,Qu?ng Tr?,Nãm 2,Lu?t kinh t?,Nông dân,T? 1.500.000 ð?n 3.000.000,T? 6 tháng - 1 nãm,"H?c t?p, Làm vi?c, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web), Khác",5,3,3,3,3,3,3,3,3,3
CTM10246,Nam,Ðà N?ng,Nãm 4,H? th?ng thông tin qu?n l?,Kinh doanh t? do,T? 3.000.000 ð?n 5.000.000,Trên 2 nãm,"H?c t?p, Làm vi?c, Chõi game",4,4,5,5,4,3,4,1,5,5
CTM1028,N?,Ngh? An,Nãm 3,Thýõng m?i ði?n t?,Nông dân,T? 1.500.000 ð?n 3.000.000,Trên 2 nãm,"H?c t?p, Làm vi?c",4,4,3,4,4,3,4,2,4,4
CTM10516,Nam,Gia Lai,Nãm 2,Thýõng m?i,Nông dân,T? 1.500.000 ð?n 3.000.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Làm vi?c, Gi?i trí (xem phim, nghe nh?c, lý?t web)",4,3,4,4,3,2,3,3,4,2
CTM10573,Nam,Th?a Thiên Hu?,Nãm 4,Tài chính doanh nghi?p,Nông dân,T? 1.500.000 ð?n 3.000.000,Trên 2 nãm,"H?c t?p, Làm vi?c",3,3,4,3,4,1,4,1,3,4
CTM10591,N?,H? Chí Minh,Nãm 4,Thýõng m?i,Công ch?c nhà ný?c,T? 3.000.000 ð?n 5.000.000,Trên 2 nãm,"H?c t?p, Gi?i trí (xem phim, nghe nh?c, lý?t web)",5,4,4,4,4,5,5,3,5,4
CTM10657,Nam,Ðà N?ng,Nãm 2,Toán kinh t?,Nhân viên vãn ph?ng,T? 1.500.000 ð?n 3.000.000,T? 6 tháng - 1 nãm,"H?c t?p, Làm vi?c, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web)",4,3,3,3,3,3,3,3,3,3
CTM10863,Nam,Ðà N?ng,Nãm 3,H? th?ng thông tin qu?n l?,Công ch?c nhà ný?c,T? 1.500.000 ð?n 3.000.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Chõi game",4,4,5,5,3,2,3,3,3,4
CTM10869,N?,Ðà N?ng,Nãm 4,Thýõng m?i,Kinh doanh t? do,T? 3.000.000 ð?n 5.000.000,Trên 2 nãm,"H?c t?p, Làm vi?c, Gi?i trí (xem phim, nghe nh?c, lý?t web)",4,4,3,3,5,3,5,2,5,5
CTM11013,N?,H? Chí Minh,Nãm 1,Truy?n thông Marketing,Công ch?c nhà ný?c,T? 1.500.000 ð?n 3.000.000,Dý?i 6 tháng,H?c t?p,4,4,2,3,3,5,5,4,5,4
CTM11016,N?,Ð?k L?k,Nãm 2,Ngo?i thýõng,Công ch?c nhà ný?c,T? 3.000.000 ð?n 5.000.000,T? 6 tháng - 1 nãm,"H?c t?p, Làm vi?c, Gi?i trí (xem phim, nghe nh?c, lý?t web)",5,5,4,3,3,5,4,5,4,3
CTM11020,N?,Gia Lai,Nãm 3,Thýõng m?i,Nông dân,T? 1.500.000 ð?n 3.000.000,Trên 2 nãm,"H?c t?p, Làm vi?c",3,4,3,3,4,5,5,2,5,4
CTM11312,Nam,H? Chí Minh,Nãm 3,Qu?n tr? kinh doanh,Kinh doanh t? do,T? 3.000.000 ð?n 5.000.000,T? 6 tháng - 1 nãm,"Làm vi?c, Chõi game",5,5,5,5,4,3,5,3,5,3
CTM11376,N?,Hà T?nh,Nãm 4,Qu?n tr? khách s?n,Nông dân,T? 1.500.000 ð?n 3.000.000,Trên 2 nãm,"H?c t?p, Gi?i trí (xem phim, nghe nh?c, lý?t web)",4,4,5,4,5,4,3,3,5,4
CTM11476,N?,H? Chí Minh,Nãm 3,Qu?n tr? Marketing,Kinh doanh t? do,T? 1.500.000 ð?n 3.000.000,Trên 2 nãm,H?c t?p,4,4,2,3,3,4,2,2,4,2
CTM11491,Nam,Qu?ng Nam,Nãm 3,H? th?ng thông tin qu?n l?,Công ch?c nhà ný?c,T? 1.500.000 ð?n 3.000.000,T? 6 tháng - 1 nãm,"H?c t?p, Làm vi?c, Chõi game",5,4,5,5,3,2,4,3,4,4
CTM1154,N?,Ðà N?ng,Nãm 1,Qu?n tr? khách s?n,Công ch?c nhà ný?c,T? 1.500.000 ð?n 3.000.000,T? 6 tháng - 1 nãm,Làm vi?c,4,4,4,4,4,4,4,4,4,4
CTM11567,Nam,H? Chí Minh,Nãm 3,Ngo?i thýõng,Kinh doanh t? do,T? 3.000.000 ð?n 5.000.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web)",3,4,3,4,3,2,4,4,3,3
CTM11667,Nam,Ðà N?ng,Nãm 4,Qu?n tr? kinh doanh,Công ch?c nhà ný?c,Trên 5.000.000,Trên 2 nãm,"H?c t?p, Làm vi?c",4,3,4,4,4,4,4,3,3,2
CTM11768,N?,B?nh Ð?nh,Nãm 2,Ki?m toán,Nông dân,T? 1.500.000 ð?n 3.000.000,T? 1 nãm ð?n 2 nãm,H?c t?p,3,4,2,2,3,4,2,2,3,4
CTM1205,N?,Qu?ng B?nh,Nãm 3,Qu?n l? nhà ný?c,Nông dân,Dý?i 1.500.000,T? 6 tháng - 1 nãm,H?c t?p,4,4,2,2,5,3,5,3,5,5
CTM12086,Nam,B?nh Ð?nh,Nãm 2,Ngo?i thýõng,Nông dân,T? 1.500.000 ð?n 3.000.000,T? 6 tháng - 1 nãm,"H?c t?p, Làm vi?c",3,2,3,4,3,3,3,2,4,3
CTM12311,Nam,Qu?ng Nam,Nãm 3,Ki?m toán,Nông dân,T? 1.500.000 ð?n 3.000.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Làm vi?c, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web)",3,1,4,4,4,2,3,2,4,5
CTM1232,Nam,Gia Lai,Nãm 1,Thýõng m?i,Kinh doanh t? do,T? 1.500.000 ð?n 3.000.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Làm vi?c, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web)",5,4,4,4,4,4,4,4,4,4
CTM12334,N?,Ngh? An,Nãm 3,Toán kinh t?,Nông dân,T? 1.500.000 ð?n 3.000.000,Trên 2 nãm,"H?c t?p, Làm vi?c",5,4,5,5,5,3,4,2,4,4
CTM12448,N?,Kon Tum,Nãm 4,K? toán,Nông dân,Dý?i 1.500.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Làm vi?c",4,2,3,3,4,4,4,2,3,3
CTM12491,Nam,Kon Tum,Nãm 3,Tài chính doanh nghi?p,Kinh doanh t? do,T? 3.000.000 ð?n 5.000.000,Trên 2 nãm,"H?c t?p, Làm vi?c, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web)",3,2,4,4,5,2,3,2,4,3
CTM12511,N?,Ð?k L?k,Nãm 3,Qu?n tr? Marketing,Kinh doanh t? do,T? 3.000.000 ð?n 5.000.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Làm vi?c",4,4,3,3,4,5,4,3,4,5
CTM12519,N?,Qu?ng Nam,Nãm 4,K? toán,Kinh doanh t? do,T? 1.500.000 ð?n 3.000.000,Trên 2 nãm,"H?c t?p, Làm vi?c",3,2,2,3,4,4,4,2,3,4
CTM12588,Nam,Qu?ng Tr?,Nãm 2,Tài chính doanh nghi?p,Nông dân,T? 1.500.000 ð?n 3.000.000,Dý?i 6 tháng,"H?c t?p, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web)",5,4,4,4,4,1,2,3,4,5
CTM12627,N?,Qu?ng Tr?,Nãm 4,Ngo?i thýõng,Nông dân,T? 1.500.000 ð?n 3.000.000,Trên 2 nãm,"H?c t?p, Làm vi?c, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web), Khác",4,4,5,5,4,4,5,5,5,4
CTM12635,N?,Gia Lai,Nãm 3,Lu?t,Nông dân,Dý?i 1.500.000,Dý?i 6 tháng,"H?c t?p, Gi?i trí (xem phim, nghe nh?c, lý?t web)",4,3,4,4,5,3,3,2,5,5
CTM13167,Nam,Ðà N?ng,Nãm 3,Ki?m toán,Công ch?c nhà ný?c,T? 3.000.000 ð?n 5.000.000,T? 6 tháng - 1 nãm,Làm vi?c,3,3,5,5,5,4,4,4,4,5
CTM13236,Nam,Lâm Ð?ng,Nãm 4,Thýõng m?i,Kinh doanh t? do,T? 3.000.000 ð?n 5.000.000,Trên 2 nãm,"H?c t?p, Làm vi?c, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web)",4,3,4,2,4,4,2,4,3,4
CTM13282,N?,B?nh Ð?nh,Nãm 1,Truy?n thông Marketing,Nông dân,T? 1.500.000 ð?n 3.000.000,Dý?i 6 tháng,"H?c t?p, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web)",4,2,3,2,3,3,3,3,3,3
CTM13449,N?,Kon Tum,Nãm 2,Lu?t,Nông dân,T? 1.500.000 ð?n 3.000.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Làm vi?c",4,4,2,3,4,5,2,2,4,3
CTM13508,N?,Qu?ng Nam,Nãm 4,Thýõng m?i,Nông dân,T? 1.500.000 ð?n 3.000.000,Trên 2 nãm,"H?c t?p, Làm vi?c, Gi?i trí (xem phim, nghe nh?c, lý?t web)",4,4,4,3,5,4,5,3,4,4
CTM13653,N?,Ðà N?ng,Nãm 2,Thýõng m?i,Công ch?c nhà ný?c,T? 1.500.000 ð?n 3.000.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Gi?i trí (xem phim, nghe nh?c, lý?t web)",4,2,3,4,4,3,4,3,3,5
CTM13664,N?,Hà T?nh,Nãm 3,Thýõng m?i ði?n t?,Kinh doanh t? do,T? 1.500.000 ð?n 3.000.000,Trên 2 nãm,"H?c t?p, Làm vi?c",5,2,4,4,3,2,2,3,4,5
CTM13762,N?,Qu?ng Tr?,Nãm 3,Thýõng m?i ði?n t?,Nông dân,Dý?i 1.500.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Làm vi?c",3,4,2,4,3,2,3,2,4,4
CTM13837,N?,Ð?k L?k,Nãm 3,Tài chính doanh nghi?p,Nông dân,T? 1.500.000 ð?n 3.000.000,T? 1 nãm ð?n 2 nãm,H?c t?p,5,5,2,3,4,5,2,3,2,3
CTM13887,Nam,Ð?k Nông,Nãm 2,H? th?ng thông tin qu?n l?,Nông dân,T? 1.500.000 ð?n 3.000.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Làm vi?c, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web)",3,4,5,5,4,3,4,2,4,5
CTM14029,Nam,Ð?k L?k,Nãm 3,Quan h? công chúng,Công ch?c nhà ný?c,T? 3.000.000 ð?n 5.000.000,Dý?i 6 tháng,Làm vi?c,5,1,5,5,5,5,5,5,5,5
CTM14049,Nam,Hà T?nh,Nãm 4,Tài chính doanh nghi?p,Nông dân,Trên 5.000.000,T? 6 tháng - 1 nãm,"H?c t?p, Làm vi?c, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web)",3,5,4,4,4,5,5,4,5,3
CTM14053,Nam,H? Chí Minh,Nãm 2,Ngo?i thýõng,Công ch?c nhà ný?c,T? 3.000.000 ð?n 5.000.000,Trên 2 nãm,"H?c t?p, Làm vi?c, Gi?i trí (xem phim, nghe nh?c, lý?t web)",3,4,4,4,5,5,4,3,3,4
CTM14121,Nam,Ðà N?ng,Nãm 3,Kinh t?,Công ch?c nhà ný?c,T? 1.500.000 ð?n 3.000.000,Trên 2 nãm,"H?c t?p, Gi?i trí (xem phim, nghe nh?c, lý?t web)",3,3,3,3,4,3,3,2,3,4
CTM14184,N?,Qu?ng Nam,Nãm 3,Toán kinh t?,Nông dân,T? 1.500.000 ð?n 3.000.000,Trên 2 nãm,"H?c t?p, Làm vi?c",3,4,4,5,4,2,4,3,4,4
CTM142,N?,Ð?k Nông,Nãm 3,Thýõng m?i ði?n t?,Nông dân,T? 1.500.000 ð?n 3.000.000,T? 1 nãm ð?n 2 nãm,H?c t?p,3,2,3,4,3,2,3,3,4,5
CTM14258,Nam,Ðà N?ng,Nãm 2,Ngo?i thýõng,Công ch?c nhà ný?c,T? 3.000.000 ð?n 5.000.000,Dý?i 6 tháng,"H?c t?p, Chõi game",4,4,2,3,4,3,2,3,4,4
CTM14408,Nam,Ð?k Nông,Nãm 3,Thýõng m?i ði?n t?,Nông dân,T? 1.500.000 ð?n 3.000.000,T? 6 tháng - 1 nãm,"H?c t?p, Làm vi?c, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web), Khác",4,4,5,5,3,3,4,3,4,3
CTM1441,N?,Ðà N?ng,Nãm 2,Ngo?i thýõng,Công ch?c nhà ný?c,T? 3.000.000 ð?n 5.000.000,T? 6 tháng - 1 nãm,"H?c t?p, Làm vi?c, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web)",5,3,4,4,3,3,3,2,3,2
CTM145,N?,B?nh Ð?nh,Nãm 1,Ngo?i thýõng,Nông dân,T? 1.500.000 ð?n 3.000.000,T? 6 tháng - 1 nãm,"H?c t?p, Làm vi?c, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web), Khác",4,3,4,4,4,2,3,4,3,2
CTM14696,N?,Qu?ng Tr?,Nãm 4,K? toán,Nông dân,T? 1.500.000 ð?n 3.000.000,Trên 2 nãm,"H?c t?p, Làm vi?c",4,4,2,2,3,2,4,2,3,4
CTM14813,N?,Ðà N?ng,Nãm 4,Thýõng m?i ði?n t?,Kinh doanh t? do,Trên 5.000.000,T? 1 nãm ð?n 2 nãm,"Chõi game, Khác",5,3,3,3,3,3,3,3,3,3
CTM15043,N?,Hà T?nh,Nãm 3,Thýõng m?i,Kinh doanh t? do,T? 3.000.000 ð?n 5.000.000,T? 6 tháng - 1 nãm,H?c t?p,4,3,3,3,3,3,3,3,3,3
CTM15082,N?,H? Chí Minh,Nãm 1,Ngo?i thýõng,Công ch?c nhà ný?c,Dý?i 1.500.000,Dý?i 6 tháng,H?c t?p,4,4,3,3,4,2,4,4,3,4
CTM15171,Nam,Qu?ng Nam,Nãm 2,Lu?t,Nhân viên vãn ph?ng,T? 1.500.000 ð?n 3.000.000,T? 6 tháng - 1 nãm,"H?c t?p, Làm vi?c, Chõi game",5,3,3,3,3,3,3,3,3,3
CTM15260,N?,Qu?ng B?nh,Nãm 3,K? toán,Nông dân,Dý?i 1.500.000,Trên 2 nãm,"H?c t?p, Làm vi?c, Gi?i trí (xem phim, nghe nh?c, lý?t web), Khác",3,4,2,2,4,4,3,2,4,4
CTM15327,N?,Thanh Hóa,Nãm 3,Ngo?i thýõng,Kinh doanh t? do,T? 3.000.000 ð?n 5.000.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Làm vi?c",4,4,3,3,4,3,4,5,3,3
CTM15333,Nam,Qu?ng Nam,Nãm 3,H? th?ng thông tin qu?n l?,Nông dân,T? 3.000.000 ð?n 5.000.000,T? 1 nãm ð?n 2 nãm,"Làm vi?c, Chõi game",3,3,5,5,4,2,3,4,4,4
CTM15426,N?,B?nh Ð?nh,Nãm 2,Lu?t,Nông dân,T? 1.500.000 ð?n 3.000.000,Dý?i 6 tháng,"H?c t?p, Làm vi?c, Gi?i trí (xem phim, nghe nh?c, lý?t web)",4,4,1,4,4,4,2,4,1,4
CTM15464,Nam,Qu?ng Tr?,Nãm 4,Toán kinh t?,Nông dân,T? 3.000.000 ð?n 5.000.000,Trên 2 nãm,"H?c t?p, Làm vi?c, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web)",3,4,5,5,4,3,4,5,4,5
CTM15674,Nam,Gia Lai,Nãm 4,Tài chính doanh nghi?p,Kinh doanh t? do,Trên 5.000.000,T? 6 tháng - 1 nãm,"Gi?i trí (xem phim, nghe nh?c, lý?t web)",4,3,3,4,3,3,3,4,3,4
CTM15688,Nam,Qu?ng Nam,Nãm 2,Thýõng m?i,Nông dân,T? 1.500.000 ð?n 3.000.000,Trên 2 nãm,"H?c t?p, Chõi game",3,4,3,4,4,3,2,2,4,3
CTM15703,Nam,Ð?k L?k,Nãm 3,H? th?ng thông tin qu?n l?,Công ch?c nhà ný?c,T? 1.500.000 ð?n 3.000.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Chõi game",4,4,5,5,4,2,3,3,5,4
CTM15751,Nam,Ðà N?ng,Nãm 3,Thýõng m?i,Kinh doanh t? do,T? 3.000.000 ð?n 5.000.000,Dý?i 6 tháng,Làm vi?c,4,3,3,3,3,3,3,3,3,3
CTM15835,Nam,B?nh Ð?nh,Nãm 1,Thýõng m?i ði?n t?,Nông dân,T? 1.500.000 ð?n 3.000.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Làm vi?c, Chõi game",5,3,3,3,3,3,3,3,3,3
CTM15919,Nam,Ngh? An,Nãm 2,Qu?n tr? kinh doanh,Công ch?c nhà ný?c,T? 3.000.000 ð?n 5.000.000,Trên 2 nãm,"H?c t?p, Làm vi?c, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web)",5,5,4,4,5,5,2,5,3,4
CTM16011,N?,Ðà N?ng,Nãm 2,Toán kinh t?,Công ch?c nhà ný?c,T? 3.000.000 ð?n 5.000.000,Dý?i 6 tháng,"H?c t?p, Làm vi?c, Gi?i trí (xem phim, nghe nh?c, lý?t web)",4,3,4,4,2,4,4,2,3,2
CTM16182,Nam,Qu?ng B?nh,Nãm 3,Kinh t? phát tri?n,Nông dân,T? 3.000.000 ð?n 5.000.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Làm vi?c",4,5,2,3,4,3,2,2,3,4
CTM16264,N?,Ðà N?ng,Nãm 1,Qu?n tr? Marketing,Công ch?c nhà ný?c,T? 3.000.000 ð?n 5.000.000,Dý?i 6 tháng,"H?c t?p, Làm vi?c, Gi?i trí (xem phim, nghe nh?c, lý?t web), Khác",5,3,4,4,2,2,4,4,4,2
CTM1634,Nam,Qu?ng Tr?,Nãm 3,Truy?n thông Marketing,Nông dân,T? 1.500.000 ð?n 3.000.000,Trên 2 nãm,"H?c t?p, Làm vi?c, Gi?i trí (xem phim, nghe nh?c, lý?t web)",3,5,3,3,4,5,3,3,4,4
CTM16527,N?,Ðà N?ng,Nãm 4,Thýõng m?i,Nhân viên vãn ph?ng,Trên 5.000.000,T? 6 tháng - 1 nãm,Làm vi?c,4,3,3,3,3,3,3,3,3,3
CTM16593,Nam,H? Chí Minh,Nãm 4,Qu?n tr? kinh doanh,Nhân viên vãn ph?ng,T? 3.000.000 ð?n 5.000.000,T? 6 tháng - 1 nãm,"H?c t?p, Làm vi?c, Gi?i trí (xem phim, nghe nh?c, lý?t web)",5,5,3,3,4,5,5,5,5,4
CTM16641,N?,Gia Lai,Nãm 2,Thýõng m?i ði?n t?,Công ch?c nhà ný?c,T? 3.000.000 ð?n 5.000.000,T? 6 tháng - 1 nãm,"H?c t?p, Làm vi?c, Khác",4,4,4,4,2,2,3,4,3,1
CTM1676,N?,Qu?ng Tr?,Nãm 2,Qu?n tr? chu?i cung ?ng,Nông dân,T? 1.500.000 ð?n 3.000.000,T? 6 tháng - 1 nãm,"H?c t?p, Làm vi?c, Gi?i trí (xem phim, nghe nh?c, lý?t web)",2,5,3,3,5,4,3,2,4,5
CTM16782,N?,Ð?k Nông,Nãm 2,Thýõng m?i ði?n t?,Nông dân,T? 1.500.000 ð?n 3.000.000,T? 6 tháng - 1 nãm,"H?c t?p, Làm vi?c, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web)",4,4,3,3,4,2,2,3,3,2
CTM16880,Nam,H? Chí Minh,Nãm 1,Khoa h?c d? li?u,Công ch?c nhà ný?c,T? 1.500.000 ð?n 3.000.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Làm vi?c, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web)",3,2,5,5,3,3,4,3,5,4
CTM17010,N?,Qu?ng Tr?,Nãm 2,K? toán,Nông dân,Dý?i 1.500.000,Dý?i 6 tháng,H?c t?p,3,4,3,3,4,3,4,3,4,3
CTM17043,N?,Qu?ng Tr?,Nãm 4,Qu?n tr? chu?i cung ?ng,Nông dân,T? 1.500.000 ð?n 3.000.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Gi?i trí (xem phim, nghe nh?c, lý?t web)",5,4,4,4,4,4,5,5,5,5
CTM17102,Nam,B?nh Ð?nh,Nãm 3,Ngo?i thýõng,Nông dân,T? 3.000.000 ð?n 5.000.000,Trên 2 nãm,"H?c t?p, Làm vi?c, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web)",2,4,3,4,5,2,3,2,3,3
CTM17109,N?,Qu?ng Nam,Nãm 2,Ki?m toán,Nông dân,T? 1.500.000 ð?n 3.000.000,T? 6 tháng - 1 nãm,H?c t?p,3,3,4,4,4,3,4,4,4,4
CTM17226,N?,Th?a Thiên Hu?,Nãm 1,K? toán,Nông dân,T? 1.500.000 ð?n 3.000.000,Dý?i 6 tháng,H?c t?p,5,5,4,5,5,4,4,5,5,3
CTM17242,N?,Th?a Thiên Hu?,Nãm 3,Thýõng m?i ði?n t?,Nông dân,T? 1.500.000 ð?n 3.000.000,Trên 2 nãm,"H?c t?p, Làm vi?c",4,4,3,4,3,2,4,3,4,4
CTM17317,N?,Qu?ng B?nh,Nãm 3,Lu?t kinh t?,Nông dân,T? 1.500.000 ð?n 3.000.000,Trên 2 nãm,H?c t?p,3,4,3,3,4,4,5,4,5,5
CTM17342,Nam,H? Chí Minh,Nãm 4,Ki?m toán,Nông dân,T? 1.500.000 ð?n 3.000.000,Trên 2 nãm,"H?c t?p, Gi?i trí (xem phim, nghe nh?c, lý?t web)",3,4,3,3,4,2,4,2,2,3
CTM17479,N?,Gia Lai,Nãm 1,Lu?t,Nhân viên vãn ph?ng,T? 1.500.000 ð?n 3.000.000,Dý?i 6 tháng,"H?c t?p, Gi?i trí (xem phim, nghe nh?c, lý?t web)",4,4,3,3,5,3,3,3,5,5
CTM17585,Nam,Hà T?nh,Nãm 1,H? th?ng thông tin qu?n l?,Nông dân,T? 1.500.000 ð?n 3.000.000,Trên 2 nãm,"H?c t?p, Làm vi?c",4,5,5,5,5,2,4,2,5,5
CTM17649,N?,Ð?k L?k,Nãm 3,Ki?m toán,Nông dân,T? 1.500.000 ð?n 3.000.000,T? 1 nãm ð?n 2 nãm,H?c t?p,3,4,2,2,3,4,3,2,3,4
CTM17713,Nam,Ðà N?ng,Nãm 1,Kinh t? ð?u tý,Kinh doanh t? do,T? 3.000.000 ð?n 5.000.000,T? 1 nãm ð?n 2 nãm,Khác,5,4,4,4,4,4,3,4,4,4
CTM17781,N?,H? Chí Minh,Nãm 3,Quan h? công chúng,Kinh doanh t? do,T? 1.500.000 ð?n 3.000.000,Trên 2 nãm,"H?c t?p, Gi?i trí (xem phim, nghe nh?c, lý?t web)",5,4,4,4,3,4,5,2,4,4
CTM18035,Nam,Ðà N?ng,Nãm 2,H? th?ng thông tin qu?n l?,Kinh doanh t? do,T? 3.000.000 ð?n 5.000.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Làm vi?c, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web)",3,4,5,5,5,2,2,3,4,5
CTM18038,Nam,Qu?ng Nam,Nãm 3,Qu?n tr? kinh doanh,Nông dân,T? 1.500.000 ð?n 3.000.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web)",2,3,3,4,5,3,4,3,5,5
CTM18051,N?,Kon Tum,Nãm 1,Ki?m toán,Kinh doanh t? do,T? 3.000.000 ð?n 5.000.000,Trên 2 nãm,"H?c t?p, Gi?i trí (xem phim, nghe nh?c, lý?t web)",4,5,5,5,4,3,5,5,5,3
CTM18106,N?,Ð?k L?k,Nãm 2,Thýõng m?i,Nông dân,Dý?i 1.500.000,Trên 2 nãm,"H?c t?p, Làm vi?c, Gi?i trí (xem phim, nghe nh?c, lý?t web)",3,2,2,3,4,3,4,3,3,5
CTM18160,N?,Ðà N?ng,Nãm 1,Qu?n tr? khách s?n,Nhân viên vãn ph?ng,T? 1.500.000 ð?n 3.000.000,T? 6 tháng - 1 nãm,Làm vi?c,2,4,4,4,4,4,4,4,4,4
CTM1827,N?,H? Chí Minh,Nãm 4,Ngo?i thýõng,Công ch?c nhà ný?c,T? 3.000.000 ð?n 5.000.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Làm vi?c",3,4,3,3,4,5,3,3,4,3
CTM18385,N?,Thanh Hóa,Nãm 3,Thýõng m?i ði?n t?,Nông dân,T? 1.500.000 ð?n 3.000.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Làm vi?c",2,3,3,3,4,2,3,2,4,4
CTM18407,N?,Ð?k L?k,Nãm 4,Lu?t,Kinh doanh t? do,T? 3.000.000 ð?n 5.000.000,Trên 2 nãm,"H?c t?p, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web)",4,4,4,4,4,4,4,4,4,4
CTM18579,Nam,Th?a Thiên Hu?,Nãm 1,Truy?n thông Marketing,Nông dân,T? 1.500.000 ð?n 3.000.000,Trên 2 nãm,"H?c t?p, Làm vi?c, Chõi game",2,4,3,4,5,4,2,2,3,4
CTM18644,N?,Ðà N?ng,Nãm 1,Ngân hàng,Nhân viên vãn ph?ng,T? 1.500.000 ð?n 3.000.000,Dý?i 6 tháng,"H?c t?p, Gi?i trí (xem phim, nghe nh?c, lý?t web)",5,4,4,4,5,5,4,4,5,4
CTM18679,N?,Ðà N?ng,Nãm 4,Thýõng m?i ði?n t?,Kinh doanh t? do,T? 1.500.000 ð?n 3.000.000,T? 6 tháng - 1 nãm,"H?c t?p, Làm vi?c, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web)",4,4,4,4,3,3,3,4,3,2
CTM18738,N?,B?nh Ð?nh,Nãm 1,Kinh t? phát tri?n,Nông dân,Dý?i 1.500.000,Trên 2 nãm,"H?c t?p, Gi?i trí (xem phim, nghe nh?c, lý?t web)",3,3,4,4,3,3,4,4,5,3
CTM18747,N?,Ð?k L?k,Nãm 3,Ki?m toán,Nông dân,T? 1.500.000 ð?n 3.000.000,Trên 2 nãm,"H?c t?p, Làm vi?c, Gi?i trí (xem phim, nghe nh?c, lý?t web)",4,5,5,5,4,3,5,5,4,2
CTM18845,N?,Qu?ng B?nh,Nãm 2,Lu?t kinh t?,Nông dân,Dý?i 1.500.000,T? 6 tháng - 1 nãm,"H?c t?p, Làm vi?c",4,4,2,3,4,4,5,2,4,4
CTM18888,N?,Ðà N?ng,Nãm 2,Qu?n tr? Marketing,Công ch?c nhà ný?c,T? 3.000.000 ð?n 5.000.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Làm vi?c",5,4,3,4,4,3,3,3,5,5
CTM19062,Nam,Ð?k Nông,Nãm 1,Qu?n tr? kinh doanh,Nông dân,Dý?i 1.500.000,Dý?i 6 tháng,H?c t?p,4,4,3,4,3,2,2,2,4,4
CTM19083,N?,Ðà N?ng,Nãm 3,Ngo?i thýõng,Nhân viên vãn ph?ng,T? 3.000.000 ð?n 5.000.000,T? 6 tháng - 1 nãm,"H?c t?p, Làm vi?c, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web), Khác",5,3,4,4,1,4,4,2,3,3
